id,user_id,tahun_ajaran_id,nomor_pendaftaran,nik,nama_lengkap,jenis_kelamin,jenjang,tempat_lahir,tanggal_lahir,alamat,rt,rw,kelurahan,kecamatan,kabupaten,provinsi,kode_pos,no_hp,email,asal_sekolah,alamat_sekolah,tahun_lulus,status_pendaftaran,created_at,updated_at,nisn,golongan_darah,anak_ke,jumlah_saudara,hobi,cita_cita,sumber_informasi,jumlah_hafalan,npsn,is_verified_otp,nik_santri,telegram_username,preferred_notification_channel,verification_channel,verifikasi_channel,kode_verifikasi,waktu_kirim_kode,waktu_verifikasi_kode,verifikasi_status,notifikasi_whatsapp_id,notifikasi_sms_id,status_proses,payment_verified_at,data_completed_at,docs_uploaded_at,docs_verified_at,announced_at,enrolled_at,data_lengkap
eca877bc-4e03-47d7-8132-4d2b1d944bc7,254f4ca1-d702-4027-b981-daf20547bf89,11111111-1111-1111-1111-111111111111,REG-2025-003,3201000000000003,Citra Verified,P,MTs,Bandung,2010-02-02,Jl. Asia Afrika No. 10,,,,,,,,,,,,,verified,2026-02-03 02:51:26.315+00,2026-02-03 02:51:26.315+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,verified,,,draft,,,,,,,
5c16f74b-63ae-4d25-afab-bb836011a76e,61365a3a-9bd7-4ba0-b5b6-ce37fe0c2e27,11111111-1111-1111-1111-111111111111,REG-2025-004,3201000000000004,Dewi Completed,P,MA,,,,,,,,,,,,,,,,accepted,2026-02-03 02:55:22.568+00,2026-02-03 02:55:22.568+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,verified,,,draft,,,,,,,
4024f997-9d60-4b96-8eba-8a355f3dfa1b,,11111111-1111-1111-1111-111111111111,ILI20268642,1605048734990003,Teddy,L,IL,,2016-02-04,,,,,,,,,085839465812,,,,,draft,2026-02-04 05:04:53.369161+00,2026-02-04 05:04:53.369161+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
d79c5294-6b8c-4607-b747-8cc05bf13aa1,,11111111-1111-1111-1111-111111111111,ILI20262065,1606058387490003,Teddi Test Santri,L,IL,,2020-06-04,,,,,,,,,085765789022,,,,,draft,2026-02-04 06:14:19.115914+00,2026-02-04 06:14:19.115914+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
b3a38bdc-dc39-44b3-94bb-09962d074d20,,11111111-1111-1111-1111-111111111111,ILI20268518,1609088038490004,Andre Test Santri,L,IL,,2013-07-10,,,,,,,,,085856709088,,,,,verified,2026-02-04 06:52:39.259176+00,2026-02-04 07:28:37.094687+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
7e22b661-d1d6-4e04-b3be-3f5d9b2ff388,94dd4993-2d80-4c27-9d41-ff9c0234ae69,11111111-1111-1111-1111-111111111111,ILI20268122,1678090373630007,Joko Test,L,IL,"",2010-09-10,"",,,,,,,,+62858765498687,"",,,,draft,2026-02-04 08:26:06.812956+00,2026-02-04 08:26:06.812956+00,"",,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
563bfea9-8cdc-4b67-8437-e3bec5ba64e3,81e38bb3-1fe7-4b7f-9f00-b978c918e905,11111111-1111-1111-1111-111111111111,ILI20266900,1678090373630077,Ilham Test,L,IL,"",2010-09-10,"",,,,,,,,+6285876549860,"",,,,draft,2026-02-04 08:28:08.590567+00,2026-02-04 08:28:08.590567+00,"",,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
42680581-0aa8-4ed3-b844-6b01ab87e977,132dc2e2-ada3-4c5f-813d-216bd7c0a86a,11111111-1111-1111-1111-111111111111,MTI20262192,1608076598090001,Zahwa Test Santri,L,MTs,"",2017-08-10,"",,,,,,,,+6285876543897,"",,,,payment_verification,2026-02-04 08:34:01.359217+00,2026-02-04 08:34:55.626078+00,"",,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
5476f00c-b25d-4d77-8abd-9a441f95718e,,11111111-1111-1111-1111-111111111111,MTI20263491,1605070406730003,Ahmad Santri Test,L,MTs,,2017-02-15,,,,,,,,,085836421178,,,,,draft,2026-02-04 09:17:17.475979+00,2026-02-04 09:17:17.475979+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
ea2feb1f-d74a-4c7b-80ee-c1b5e9d43205,,11111111-1111-1111-1111-111111111111,MTI20264684,1605040635970003,Ahmad Test Login,L,MTs,,2016-02-18,,,,,,,,,085863224266,,,,,draft,2026-02-04 09:20:53.323359+00,2026-02-04 09:20:53.323359+00,,,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
3837ca2c-f3f6-4a85-bb65-21fdb2e5e2b1,a091171a-a4f0-4270-93f8-98ad2666fa48,11111111-1111-1111-1111-111111111111,ILI20266415,1606010704650002,Daud Test Santri,L,IL,"",2015-10-20,"",,,,,,,,+6281276548890,"",,,,verified,2026-02-04 14:07:41.851653+00,2026-02-04 14:14:33.920581+00,"",,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
becc0a08-c729-4140-b151-b8dba14cf257,a16a27b6-4722-4c42-b4fe-1aa1c5cee568,11111111-1111-1111-1111-111111111111,MTI20262378,3322025835858000,wahab rajasam,L,MTs,"",1986-06-04,"",,,,,,,,+6281326611671,"",,,,draft,2026-02-05 01:51:51.529678+00,2026-02-05 01:51:51.529678+00,"",,,,,,,,,f,,,sms,,whatsapp_manual,,,,pending,,,draft,,,,,,,
